# Haddock
 1979 2014 1979 2014 1 5 14 2 0
#Landaður afli
 185 481  910 1409 1968 2496 3077 3300 4000 5741 6171 4000 5213
 185 481  910 1409 1968 2496 3077 3300 4615 4000 7337 4000 4000
 185 481  910 1409 1968 2496 3077 3300 4898 4000 6376 4000 4000
 185 481  910 1409 1968 2496 3077 3300 3952 4958 5323 4000 5213
 185 481  910 1409 1968 2496 3077 3300 4463 5101 4000 4000 4000
 185 481  910 1409 1968 2496 3077 3300 3941 4138 5155 4000 4000
 244 568 1187 1673 2371 2766 3197 3331 4564 4930 4852 5209 4000
 239 671 1134 1943 2399 3190 3293 3728 4436 3863 5241 4000 4000
 162 550 1216 1825 2605 3030 3642 3837 3653 4877 3814 5279 4163
 176 457  974 1830 2695 3102 3481 3318 4169 4560 4631 5293 5293
 182 441  887 1510 2380 3009 3499 3195 5039 5015 4975 5338 4575
 184 457  840 1234 1965 2675 3052 3267 4115 4682 5220 5183 5204
 176 501 1003 1406 1884 2496 3755 3653 5243 3427 4000 5356 4000
 157 503  894 1365 1891 2325 2936 3682 4674 4503 5250 4000 4000
 168 384  878 1492 1785 2562 2573 3266 4047 5294 5294 4709 4000
 181 392  680 1235 1766 1717 2977 2131 3154 3897 5258 4190 4000
 167 440  755 1065 1857 2689 5377 1306 3119 3220 1640 3753 4000
 174 453  813 1076 1477 2171 2426 4847 3686 3846 3508 4000 4000
 174 424  817 1221 1425 1915 2390 3692 3508 4028 2815 4133 4000
 203 415  753 1241 1747 1996 2342 3076 3275 3701 3630 3806 4202
 206 480  715 1189 1956 2366 2782 2922 3534 4000 4000 2159 4000
 179 552  889 1159 1767 2612 2917 3132 3734 4142 5574 4000 1648
 190 490 1056 1437 1509 2169 2765 3300 4715 3849 4000 4000 4000
 172 475  889 1460 1949 2137 1990 3709 4078 4551 4479 5358 4000
 230 412  801 1268 1873 3139 2343 3301 3289 4157 5295 5313 4000
 176 556  807 1282 1690 2454 3236 2942 3957 3146 2827 4000 5249
 153 448  920 1188 1564 2128 2808 2550 2755 4053 4019 4158 4000
 127 333  736 1145 1512 1944 2232 3272 3617 3566 4000 4000 4000
 170 350  615 1053 1514 1786 2073 2198 2408 3360 2303 3338 5082
 179 382  595  868 1295 1828 2201 2340 2568 2840 2727 4000 4000
 139 442  687  882 1141 1495 1920 2574 3070 3016 3488 4000 4000
 150 392  773  942 1190 1468 1829 2086 2730 3016 3488 4000 4000
 175 442  757 1129 1304 1583 1865 2107 3094 2398 4146 4000 4000
 202 482 801 1145 1480 1909 2072 2353 2350 2207 3211 3054  4000
 201 589  967 1312 1710 1999 2265 2764 2709 2529 2885 1788 3352
 222 570 1005 1372 1751 2141 2298 2653 3104 3153 3162 3054 3582
 255 614 1073 1637 1926 2452 2774 3170 3173 3577 3356 3500 3718
#Forecast
 184 609 1117 1643 2200 2461 2908 3167 3472 3475 3775 3612 4078
 182 486 1111 1689 2205 2698 2915 3272 3470 3698 3700 3918 3800
 187 482  950 1683 2248 2702 3106 3277 3549 3696 3863 3864 4019





# sexual maturity 79 - 99 from survey mean 85-02earlier
# 2     3     4     5     6     7     8     9
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.080 0.301 0.539 0.722 0.821 0.868 0.904 0.963  1  1  1  1  1
 0.016 0.144 0.536 0.577 0.765 0.766 0.961 0.934  1  1  1  1  1
 0.021 0.205 0.413 0.673 0.845 0.884 0.952 0.986  1  1  1  1  1
 0.022 0.137 0.426 0.535 0.778 0.776 1.000 0.969  1  1  1  1  1
 0.013 0.221 0.394 0.767 0.793 0.928 0.914 1.000  1  1  1  1  1
 0.041 0.202 0.532 0.727 0.818 0.998 1.000 1.000  1  1  1  1  1
 0.114 0.334 0.634 0.814 0.843 0.918 0.882 1.000  1  1  1  1  1
 0.063 0.224 0.592 0.739 0.817 0.894 0.495 1.000  1  1  1  1  1
 0.050 0.227 0.419 0.799 0.901 0.901 0.858 1.000  1  1  1  1  1
 0.124 0.362 0.481 0.670 0.904 0.977 0.908 0.867  1  1  1  1  1
